REF_DATE,AIRPORTS,WEIGHT_IN_KG,VALUE,YEAR,GEO
2022-01-01,"Total, all airports","2,000 kilograms and under",48209,2022,all airports
2022-01-01,"Total, all airports","2,001 to 4,000 kilograms",12174,2022,all airports
2022-01-01,"Total, all airports","4,001 to 5,670 kilograms",28235,2022,all airports
2022-01-01,"Total, all airports","5,671 to 9,000 kilograms",14738,2022,all airports
2022-01-01,"Total, all airports","9,001 to 18,000 kilograms",9713,2022,all airports
2022-01-01,"Total, all airports","18,001 to 35,000 kilograms",34813,2022,all airports
2022-01-01,"Total, all airports","35,001 to 70,000 kilograms",29384,2022,all airports
2022-01-01,"Total, all airports","70,001 to 90,000 kilograms",12263,2022,all airports
2022-01-01,"Total, all airports","90,001 to 136,000 kilograms",1745,2022,all airports
2022-01-01,"Total, all airports","136,001 kilograms and over",9417,2022,all airports
2022-01-01,"Abbotsford, British Columbia","2,000 kilograms and under",2528,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","2,001 to 4,000 kilograms",34,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","4,001 to 5,670 kilograms",131,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","5,671 to 9,000 kilograms",49,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","9,001 to 18,000 kilograms",18,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","18,001 to 35,000 kilograms",97,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","35,001 to 70,000 kilograms",328,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","70,001 to 90,000 kilograms",101,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","90,001 to 136,000 kilograms",NA,2022,British Columbia
2022-01-01,"Abbotsford, British Columbia","136,001 kilograms and over",NA,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","2,000 kilograms and under",2172,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","2,001 to 4,000 kilograms",134,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","4,001 to 5,670 kilograms",51,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","5,671 to 9,000 kilograms",5,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","9,001 to 18,000 kilograms",NA,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","18,001 to 35,000 kilograms",NA,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","35,001 to 70,000 kilograms",NA,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","70,001 to 90,000 kilograms",1,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","90,001 to 136,000 kilograms",NA,2022,British Columbia
2022-01-01,"Boundary Bay, British Columbia","136,001 kilograms and over",NA,2022,British Columbia
2022-01-01,"Brandon Municipal, Manitoba","2,000 kilograms and under",191,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","2,001 to 4,000 kilograms",21,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","4,001 to 5,670 kilograms",81,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","5,671 to 9,000 kilograms",14,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","9,001 to 18,000 kilograms",10,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","18,001 to 35,000 kilograms",54,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","35,001 to 70,000 kilograms",NA,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","70,001 to 90,000 kilograms",10,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","90,001 to 136,000 kilograms",NA,2022,Manitoba
2022-01-01,"Brandon Municipal, Manitoba","136,001 kilograms and over",NA,2022,Manitoba
2022-01-01,"Calgary International, Alberta","2,000 kilograms and under",375,2022,Alberta
2022-01-01,"Calgary International, Alberta","2,001 to 4,000 kilograms",211,2022,Alberta
2022-01-01,"Calgary International, Alberta","4,001 to 5,670 kilograms",653,2022,Alberta
2022-01-01,"Calgary International, Alberta","5,671 to 9,000 kilograms",454,2022,Alberta
2022-01-01,"Calgary International, Alberta","9,001 to 18,000 kilograms",656,2022,Alberta
2022-01-01,"Calgary International, Alberta","18,001 to 35,000 kilograms",3129,2022,Alberta
2022-01-01,"Calgary International, Alberta","35,001 to 70,000 kilograms",3688,2022,Alberta
2022-01-01,"Calgary International, Alberta","70,001 to 90,000 kilograms",1592,2022,Alberta
2022-01-01,"Calgary International, Alberta","90,001 to 136,000 kilograms",229,2022,Alberta
2022-01-01,"Calgary International, Alberta","136,001 kilograms and over",792,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","2,000 kilograms and under",3745,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","2,001 to 4,000 kilograms",286,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","4,001 to 5,670 kilograms",24,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","5,671 to 9,000 kilograms",8,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","9,001 to 18,000 kilograms",2,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","18,001 to 35,000 kilograms",NA,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","35,001 to 70,000 kilograms",NA,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","70,001 to 90,000 kilograms",NA,2022,Alberta
2022-01-01,"Calgary/Springbank, Alberta","90,001 to 136,000 kilograms",NA,2022,Alberta
