REF_DATE,DESC,VALUE,YEAR
2019-12-28,Domestic movements,32477,2019
2019-12-28,Transborder movements,7826,2019
2019-12-28,Other international movements,4113,2019
2020-01-04,Domestic movements,37349,2020
2020-01-04,Transborder movements,8304,2020
2020-01-04,Other international movements,4172,2020
2020-01-11,Domestic movements,31725,2020
2020-01-11,Transborder movements,7931,2020
2020-01-11,Other international movements,4016,2020
2020-01-18,Domestic movements,40833,2020
2020-01-18,Transborder movements,7991,2020
2020-01-18,Other international movements,3955,2020
2020-01-25,Domestic movements,40276,2020
2020-01-25,Transborder movements,8185,2020
2020-01-25,Other international movements,3879,2020
2020-02-01,Domestic movements,40090,2020
2020-02-01,Transborder movements,8024,2020
2020-02-01,Other international movements,3846,2020
2020-02-08,Domestic movements,44094,2020
2020-02-08,Transborder movements,8347,2020
2020-02-08,Other international movements,3965,2020
2020-02-15,Domestic movements,47189,2020
2020-02-15,Transborder movements,8574,2020
2020-02-15,Other international movements,3991,2020
2020-02-22,Domestic movements,44486,2020
2020-02-22,Transborder movements,8423,2020
2020-02-22,Other international movements,3934,2020
2020-02-29,Domestic movements,43678,2020
2020-02-29,Transborder movements,8642,2020
2020-02-29,Other international movements,4031,2020
2020-03-07,Domestic movements,47930,2020
2020-03-07,Transborder movements,8854,2020
2020-03-07,Other international movements,4019,2020
2020-03-14,Domestic movements,41279,2020
2020-03-14,Transborder movements,8195,2020
2020-03-14,Other international movements,3990,2020
2020-03-21,Domestic movements,21448,2020
2020-03-21,Transborder movements,3690,2020
2020-03-21,Other international movements,2091,2020
2020-03-28,Domestic movements,13078,2020
2020-03-28,Transborder movements,1555,2020
2020-03-28,Other international movements,527,2020
2020-04-04,Domestic movements,13561,2020
2020-04-04,Transborder movements,1147,2020
2020-04-04,Other international movements,401,2020
2020-04-11,Domestic movements,12811,2020
2020-04-11,Transborder movements,896,2020
2020-04-11,Other international movements,398,2020
2020-04-18,Domestic movements,13820,2020
2020-04-18,Transborder movements,898,2020
2020-04-18,Other international movements,454,2020
2020-04-25,Domestic movements,14781,2020
2020-04-25,Transborder movements,817,2020
2020-04-25,Other international movements,469,2020
2020-05-02,Domestic movements,16428,2020
2020-05-02,Transborder movements,797,2020
2020-05-02,Other international movements,581,2020
2020-05-09,Domestic movements,17902,2020
2020-05-09,Transborder movements,880,2020
2020-05-09,Other international movements,608,2020
2020-05-16,Domestic movements,20824,2020
2020-05-16,Transborder movements,882,2020
2020-05-16,Other international movements,642,2020
2020-05-23,Domestic movements,24010,2020
2020-05-23,Transborder movements,1004,2020
2020-05-23,Other international movements,604,2020
2020-05-30,Domestic movements,26682,2020
2020-05-30,Transborder movements,1114,2020
2020-05-30,Other international movements,618,2020
2020-06-06,Domestic movements,24816,2020
2020-06-06,Transborder movements,1098,2020
2020-06-06,Other international movements,627,2020
2020-06-13,Domestic movements,32167,2020
2020-06-13,Transborder movements,1113,2020
2020-06-13,Other international movements,640,2020
2020-06-20,Domestic movements,31704,2020
2020-06-20,Transborder movements,1277,2020
2020-06-20,Other international movements,665,2020
