DATE,QCAR628BIS
1970-01-01,34.9761
1970-04-01,34.8038
1970-07-01,34.8051
1970-10-01,35.9773
1971-01-01,36.0862
1971-04-01,36.0437
1971-07-01,35.2792
1971-10-01,36.8414
1972-01-01,37.175
1972-04-01,36.8323
1972-07-01,36.5827
1972-10-01,38.0056
1973-01-01,39.2592
1973-04-01,40.4207
1973-07-01,42.1601
1973-10-01,45.3361
1974-01-01,48.9798
1974-04-01,49.4612
1974-07-01,47.5952
1974-10-01,46.3668
1975-01-01,47.9414
1975-04-01,48.3534
1975-07-01,48.3049
1975-10-01,49.28
1976-01-01,50.667
1976-04-01,50.5221
1976-07-01,49.8634
1976-10-01,51.0163
1977-01-01,50.4174
1977-04-01,49.3307
1977-07-01,48.1437
1977-10-01,48.5159
1978-01-01,47.3919
1978-04-01,47.6555
1978-07-01,46.422
1978-10-01,47.8035
1979-01-01,48.3984
1979-04-01,48.1249
1979-07-01,46.9953
1979-10-01,47.9665
1980-01-01,47.6342
1980-04-01,48.2334
1980-07-01,48.8262
1980-10-01,50.5199
1981-01-01,50.7144
1981-04-01,49.6384
1981-07-01,49.417
1981-10-01,48.9222
1982-01-01,45.7792
1982-04-01,42.5431
1982-07-01,40.8654
1982-10-01,41.1066
1983-01-01,43.6082
1983-04-01,43.0032
1983-07-01,41.7796
1983-10-01,41.5506
1984-01-01,41.0239
1984-04-01,40.9174
1984-07-01,39.8307
1984-10-01,40.0186
1985-01-01,40.397
1985-04-01,40.8536
1985-07-01,40.6659
1985-10-01,42.0589
1986-01-01,43.9348
1986-04-01,45.7725
1986-07-01,46.0134
1986-10-01,48.6939
1987-01-01,52.2995
1987-04-01,50.9395
1987-07-01,50.3978
1987-10-01,52.8005
1988-01-01,57.1947
1988-04-01,57.6738
1988-07-01,57.626
1988-10-01,61.8239
1989-01-01,67.1956
1989-04-01,60.357
1989-07-01,60.9063
1989-10-01,63.9405
1990-01-01,61.9018
1990-04-01,57.2155
1990-07-01,56.9603
1990-10-01,56.5778
1991-01-01,57.6484
1991-04-01,59.2617
1991-07-01,55.5906
1991-10-01,56.352
1992-01-01,57.0584
1992-04-01,57.2036
1992-07-01,57.0929
1992-10-01,58.0742
1993-01-01,58.1611
1993-04-01,58.0475
1993-07-01,56.5463
1993-10-01,56.9554
1994-01-01,59.8401
1994-04-01,59.5497
1994-07-01,58.292
1994-10-01,58.8054
1995-01-01,56.6496
1995-04-01,54.7675
1995-07-01,55.1889
1995-10-01,55.2564
1996-01-01,54.3606
1996-04-01,55.0905
1996-07-01,54.2499
1996-10-01,54.2359
1997-01-01,54.571
1997-04-01,55.7806
1997-07-01,54.6664
1997-10-01,54.637
1998-01-01,53.8298
1998-04-01,54.1552
1998-07-01,53.022
1998-10-01,53.679
1999-01-01,53.8319
1999-04-01,55.336
1999-07-01,54.4819
1999-10-01,55.076
2000-01-01,55.0712
2000-04-01,55.6515
2000-07-01,55.0125
2000-10-01,55.206
2001-01-01,54.9413
2001-04-01,56.3491
2001-07-01,56.4497
2001-10-01,57.717
2002-01-01,59.8413
2002-04-01,61.2793
2002-07-01,60.1198
2002-10-01,61.7218
2003-01-01,62.2105
2003-04-01,64.3636
2003-07-01,65.4728
2003-10-01,67.285
2004-01-01,68.0732
2004-04-01,70.4259
2004-07-01,68.6396
2004-10-01,70.9571
2005-01-01,71.8321
2005-04-01,73.9839
2005-07-01,75.704
2005-10-01,77.3924
2006-01-01,80.7409
2006-04-01,84.6375
2006-07-01,87.7947
2006-10-01,89.2953
2007-01-01,91.9179
2007-04-01,95.3218
2007-07-01,97.9957
2007-10-01,98.8941
2008-01-01,100.1038
2008-04-01,98.7461
2008-07-01,95.783
2008-10-01,93.3686
2009-01-01,90.5103
2009-04-01,91.8352
2009-07-01,94.9882
2009-10-01,97.5195
2010-01-01,100.215
2010-04-01,101.3204
2010-07-01,99.7466
2010-10-01,98.7349
2011-01-01,100.7072
2011-04-01,102.7003
2011-07-01,103.9308
2011-10-01,103.8916
2012-01-01,105.6886
2012-04-01,107.0475
2012-07-01,106.1794
2012-10-01,104.7669
2013-01-01,105.4106
2013-04-01,106.9647
2013-07-01,107.401
2013-10-01,107.9991
2014-01-01,109.2723
2014-04-01,110.292
2014-07-01,110.918
2014-10-01,111.8685
2015-01-01,114.6728
2015-04-01,117.3874
2015-07-01,119.4253
2015-10-01,121.416
2016-01-01,127.5612
2016-04-01,134.4144
2016-07-01,138.3508
2016-10-01,139.1556
2017-01-01,147.2497
2017-04-01,154.7099
2017-07-01,156.5451
2017-10-01,155.5688
2018-01-01,155.0213
2018-04-01,155.7325
2018-07-01,155.2954
2018-10-01,155.1611
2019-01-01,153.4555
2019-04-01,152.7508
2019-07-01,152.634
2019-10-01,154.4713
2020-01-01,157.1612
2020-04-01,161.377
2020-07-01,162.744
2020-10-01,166.0825
2021-01-01,168.4839
2021-04-01,177.1746
2021-07-01,178.8529
2021-10-01,180.6868
2022-01-01,199.5411
2022-04-01,190.5454
2022-07-01,172.3373
2022-10-01,163.1333
2023-01-01,161.3701
