ref_date,geo,legal_marital_status_prior_to_marriage,gender,gender_composition_of_the_couple,indicator,age_in_years,year,month
1991-01-01,Canada,Total – Legally unmarried,Total – Gender,Total – Gender composition,Mean age at marriage,30.5,1991,1
1991-01-01,Canada,Total – Legally unmarried,Total – Gender,Total – Gender composition,Median age at marriage,27.8,1991,1
1991-01-01,Canada,Total – Legally unmarried,Total – Gender,Different-gender couples,Mean age at marriage,30.5,1991,1
1991-01-01,Canada,Total – Legally unmarried,Total – Gender,Different-gender couples,Median age at marriage,27.8,1991,1
1991-01-01,Canada,Total – Legally unmarried,Men+,Total – Gender composition,Mean age at marriage,31.7,1991,1
1991-01-01,Canada,Total – Legally unmarried,Men+,Total – Gender composition,Median age at marriage,28.8,1991,1
1991-01-01,Canada,Total – Legally unmarried,Men+,Different-gender couples,Mean age at marriage,31.7,1991,1
1991-01-01,Canada,Total – Legally unmarried,Men+,Different-gender couples,Median age at marriage,28.8,1991,1
1991-01-01,Canada,Total – Legally unmarried,Women+,Total – Gender composition,Mean age at marriage,29.2,1991,1
1991-01-01,Canada,Total – Legally unmarried,Women+,Total – Gender composition,Median age at marriage,26.8,1991,1
1991-01-01,Canada,Total – Legally unmarried,Women+,Different-gender couples,Mean age at marriage,29.2,1991,1
1991-01-01,Canada,Total – Legally unmarried,Women+,Different-gender couples,Median age at marriage,26.8,1991,1
1991-01-01,Canada,Never legally married,Total – Gender,Total – Gender composition,Mean age at marriage,27.2,1991,1
1991-01-01,Canada,Never legally married,Total – Gender,Total – Gender composition,Median age at marriage,26.3,1991,1
1991-01-01,Canada,Never legally married,Total – Gender,Different-gender couples,Mean age at marriage,27.2,1991,1
1991-01-01,Canada,Never legally married,Total – Gender,Different-gender couples,Median age at marriage,26.3,1991,1
1991-01-01,Canada,Never legally married,Men+,Total – Gender composition,Mean age at marriage,28.2,1991,1
1991-01-01,Canada,Never legally married,Men+,Total – Gender composition,Median age at marriage,27.2,1991,1
1991-01-01,Canada,Never legally married,Men+,Different-gender couples,Mean age at marriage,28.2,1991,1
1991-01-01,Canada,Never legally married,Men+,Different-gender couples,Median age at marriage,27.2,1991,1
