ref_date,geo,fuel_type,vehicle_type,number_of_vehicles,year,month
2017-01-01,CAN,All fuel types,"Total, vehicle type",425043,2017,1
2017-01-01,CAN,All fuel types,Passenger cars,130741,2017,1
2017-01-01,CAN,All fuel types,Pickup trucks,89797,2017,1
2017-01-01,CAN,All fuel types,Multi-purpose vehicles,176937,2017,1
2017-01-01,CAN,All fuel types,Vans,27568,2017,1
2017-01-01,CAN,Gas,"Total, vehicle type",403087,2017,1
2017-01-01,CAN,Gas,Passenger cars,125547,2017,1
2017-01-01,CAN,Gas,Pickup trucks,78414,2017,1
2017-01-01,CAN,Gas,Multi-purpose vehicles,173243,2017,1
2017-01-01,CAN,Gas,Vans,25883,2017,1
2017-01-01,CAN,Diesel,"Total, vehicle type",14283,2017,1
2017-01-01,CAN,Diesel,Passenger cars,264,2017,1
2017-01-01,CAN,Diesel,Pickup trucks,11383,2017,1
2017-01-01,CAN,Diesel,Multi-purpose vehicles,973,2017,1
2017-01-01,CAN,Diesel,Vans,1663,2017,1
2017-01-01,CAN,All zero-emission vehicles,"Total, vehicle type",3488,2017,1
2017-01-01,CAN,All zero-emission vehicles,Passenger cars,2689,2017,1
2017-01-01,CAN,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,CAN,All zero-emission vehicles,Multi-purpose vehicles,777,2017,1
2017-01-01,CAN,All zero-emission vehicles,Vans,22,2017,1
2017-01-01,CAN,Electric,"Total, vehicle type",1664,2017,1
2017-01-01,CAN,Electric,Passenger cars,1133,2017,1
2017-01-01,CAN,Electric,Pickup trucks,0,2017,1
2017-01-01,CAN,Electric,Multi-purpose vehicles,531,2017,1
2017-01-01,CAN,Electric,Vans,0,2017,1
2017-01-01,CAN,Hybrid Electric,"Total, vehicle type",1824,2017,1
2017-01-01,CAN,Hybrid Electric,Passenger cars,1556,2017,1
2017-01-01,CAN,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,CAN,Hybrid Electric,Multi-purpose vehicles,246,2017,1
2017-01-01,CAN,Hybrid Electric,Vans,22,2017,1
2017-01-01,CAN,Hybrid Electric,"Total, vehicle type",4185,2017,1
2017-01-01,CAN,Hybrid Electric,Passenger cars,2241,2017,1
2017-01-01,CAN,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,CAN,Hybrid Electric,Multi-purpose vehicles,1944,2017,1
2017-01-01,CAN,Hybrid Electric,Vans,0,2017,1
2017-01-01,CAN,Other,"Total, vehicle type",0,2017,1
2017-01-01,CAN,Other,Passenger cars,0,2017,1
2017-01-01,CAN,Other,Pickup trucks,0,2017,1
2017-01-01,CAN,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,CAN,Other,Vans,0,2017,1
2017-01-01,PEI,All fuel types,"Total, vehicle type",1533,2017,1
2017-01-01,PEI,All fuel types,Passenger cars,428,2017,1
2017-01-01,PEI,All fuel types,Pickup trucks,371,2017,1
2017-01-01,PEI,All fuel types,Multi-purpose vehicles,672,2017,1
2017-01-01,PEI,All fuel types,Vans,62,2017,1
2017-01-01,PEI,Gas,"Total, vehicle type",1495,2017,1
2017-01-01,PEI,Gas,Passenger cars,422,2017,1
2017-01-01,PEI,Gas,Pickup trucks,346,2017,1
2017-01-01,PEI,Gas,Multi-purpose vehicles,666,2017,1
2017-01-01,PEI,Gas,Vans,61,2017,1
2017-01-01,PEI,Diesel,"Total, vehicle type",27,2017,1
2017-01-01,PEI,Diesel,Passenger cars,0,2017,1
2017-01-01,PEI,Diesel,Pickup trucks,25,2017,1
2017-01-01,PEI,Diesel,Multi-purpose vehicles,1,2017,1
2017-01-01,PEI,Diesel,Vans,1,2017,1
2017-01-01,PEI,All zero-emission vehicles,"Total, vehicle type",0,2017,1
2017-01-01,PEI,All zero-emission vehicles,Passenger cars,0,2017,1
2017-01-01,PEI,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,PEI,All zero-emission vehicles,Multi-purpose vehicles,0,2017,1
2017-01-01,PEI,All zero-emission vehicles,Vans,0,2017,1
2017-01-01,PEI,Electric,"Total, vehicle type",0,2017,1
2017-01-01,PEI,Electric,Passenger cars,0,2017,1
2017-01-01,PEI,Electric,Pickup trucks,0,2017,1
2017-01-01,PEI,Electric,Multi-purpose vehicles,0,2017,1
2017-01-01,PEI,Electric,Vans,0,2017,1
2017-01-01,PEI,Hybrid Electric,"Total, vehicle type",0,2017,1
2017-01-01,PEI,Hybrid Electric,Passenger cars,0,2017,1
