ref_date,geo,age,gender,statistics,religion_name,total_followers,year,month
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,total_religion_1,5992555,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,buddhist_2,31605,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,christian_3,2570485,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,christian_n_o_s_4,570005,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,anabaptist_5,31345,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,anglican_6,86255,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,baptist_7,48595,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,catholic_8,1399190,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,christian_orthodox_9,98325,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,jehovahs_witness_10,14905,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,latter_day_saints_11,18785,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,lutheran_12,25590,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,methodist_and_wesleyan_holiness_13,9820,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,pentecostal_and_other_charismatic_14,68875,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,presbyterian_15,20820,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,reformed_16,16530,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,united_church_17,73385,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,other_christian_and_christian_related_traditions_18,88065,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,hindu_19,142820,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,jewish_20,57445,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,muslim_21,466230,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,sikh_22,129870,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,traditional_north_american_indigenous_spirituality_23,23415,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,other_religions_and_spiritual_traditions_24,25055,2021,1
2021-01-01,Canada,0 to 14 years,Total - Gender,2021 Counts,no_religion_and_secular_perspectives_25,2545640,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,total_religion_1,3075915,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,buddhist_2,16330,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,christian_3,1310455,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,christian_n_o_s_4,291145,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,anabaptist_5,15955,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,anglican_6,43450,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,baptist_7,25030,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,catholic_8,712710,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,christian_orthodox_9,51100,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,jehovahs_witness_10,7495,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,latter_day_saints_11,9575,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,lutheran_12,13215,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,methodist_and_wesleyan_holiness_13,5110,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,pentecostal_and_other_charismatic_14,34555,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,presbyterian_15,10640,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,reformed_16,8640,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,united_church_17,37320,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,other_christian_and_christian_related_traditions_18,44525,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,hindu_19,73270,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,jewish_20,29575,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,muslim_21,238755,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,sikh_22,68030,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,traditional_north_american_indigenous_spirituality_23,11875,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,other_religions_and_spiritual_traditions_24,12595,2021,1
2021-01-01,Canada,0 to 14 years,Men+,2021 Counts,no_religion_and_secular_perspectives_25,1315035,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,total_religion_1,2916640,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,buddhist_2,15280,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,christian_3,1260035,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,christian_n_o_s_4,278860,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,anabaptist_5,15395,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,anglican_6,42805,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,baptist_7,23565,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,catholic_8,686480,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,christian_orthodox_9,47230,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,jehovahs_witness_10,7420,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,latter_day_saints_11,9200,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,lutheran_12,12365,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,methodist_and_wesleyan_holiness_13,4710,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,pentecostal_and_other_charismatic_14,34325,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,presbyterian_15,10185,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,reformed_16,7895,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,united_church_17,36070,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,other_christian_and_christian_related_traditions_18,43540,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,hindu_19,69550,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,jewish_20,27865,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,muslim_21,227475,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,sikh_22,61840,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,traditional_north_american_indigenous_spirituality_23,11535,2021,1
